原始欄位代碼,欄位中文名稱,欄位英文名稱,三表來源,數值
tifrs-SCF:IncreaseInOtherBorrowings,其他借款增加,Increase in Other Borrowings,現金流量表（累計數）,0
tifrs-SCF:IncreaseInOtherLiabilities,其他負債增加,Increase in Other Liabilities,現金流量表（累計數）,108457
tifrs-SCF:IncreaseInOtherReceivablesDueFromRelatedParties,其他應收關係人款項增加,Increase in Other Receivables Due from Related Parties,現金流量表（累計數）,0
tifrs-SCF:IncreaseInShortTermLoans,短期借款增加,Increase in Short-term Loans,現金流量表（累計數）,1270144
tifrs-SCF:LossGainOnDisposalOfInvestmentProperties,處分投資性不動產損失（利益）,Loss (Gain) on Disposal of Investment Properties,現金流量表（累計數）,-2004679
tifrs-SCF:NetLossGainOnFinancialAssetsOrLiabilitiesAtFairValueThroughProfitOrLoss,透過損益按公允價值衡量之金融資產（負債）淨損失（利益）,Net Loss (Gain) on Financial Assets/Liabilities at FVTPL,現金流量表（累計數）,-534296
tifrs-SCF:ProceedsFromDisposalOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,處分透過其他綜合損益按公允價值衡量之金融資產價款,Proceeds from Disposal of Financial Assets at FVTOCI,現金流量表（累計數）,10330711
tifrs-SCF:ProceedsFromDisposalOfFinancialAssetsAtAmortisedCost,處分按攤銷後成本衡量之金融資產價款,Proceeds from Disposal of Financial Assets at Amortised Cost,現金流量表（累計數）,252139
tifrs-SCF:ProceedsFromIssuingBonds,發行公司債價款,Proceeds from Issuing Bonds,現金流量表（累計數）,0
tifrs-SCF:ProceedsFromLongTermDebt,舉借長期借款,Proceeds from Long-term Debt,現金流量表（累計數）,25742711
tifrs-SCF:ProvisionReversalOfProvisionForBadDebtExpense,提列（迴轉）備抵呆帳費用,Provision (Reversal) for Bad Debt Expense,現金流量表（累計數）,311460
tifrs-SCF:RepaymentsOfLongTermDebt,償還長期借款,Repayments of Long-term Debt,現金流量表（累計數）,-25663765
tifrs-SCF:ReversalOfImpairmentLossOnNonfinancialAssets,迴轉非金融資產減損損失,Reversal of Impairment Loss on Nonfinancial Assets,現金流量表（累計數）,60775
tifrs-SCF:ShareOfLossProfitOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,採用權益法認列之關聯企業及合資損益份額,Share of Loss (Profit) of Associates and JVs,現金流量表（累計數）,-15071
